Marca,Modelo,Precio,Tipo_Combustible,Año,kms,CV,N_Puertas,Tipo_Cambio,color,N_Fotos,Provincia,TDG
3,239,26900,3,2016.0,57000,170.0,2,3,4,27,7,-1.1124163568773233
2,732,16690,3,2016.0,128000,150.0,2,2,4,41,29,-6.660035949670461
2,868,22500,3,2011.0,112752,245.0,2,3,4,34,10,-4.000088888888889
2,729,15990,3,2016.0,84000,116.0,2,2,3,17,29,-4.24577861163227
1,187,42461,6,2020.0,1,225.0,2,3,4,4,41,1.0053696333105673
1,296,19400,3,2020.0,7,102.0,2,2,4,17,39,1.0050515463917526
3,239,2490,3,1997.0,280000,150.0,2,3,4,7,9,-111.3871485943775
1,182,10660,4,2015.0,102143,130.0,2,2,4,15,47,-8.569418386491558
1,566,4600,3,2010.0,202492,90.0,2,2,2,6,42,-42.999782608695654
1,906,13000,4,2018.0,56000,120.0,2,2,3,5,36,-3.298230769230769
2,732,17000,3,2017.0,117000,116.0,2,3,4,42,29,-5.875235294117647
3,249,67500,3,2020.0,14382,245.0,2,3,2,14,45,0.7906518518518518
1,455,11560,3,2017.0,58000,120.0,2,2,4,31,45,-4.006660899653979
1,186,26100,3,2019.0,0,131.0,2,2,2,10,29,1.0051340996168583
2,104,25900,3,2017.0,54000,150.0,2,3,3,22,10,-1.078957528957529
2,640,39900,3,2019.0,20000,163.0,2,3,4,20,4,0.5029573934837093
1,553,6500,3,2007.0,46173,130.0,2,2,4,9,7,-6.0830769230769235
1,925,21700,4,2019.0,5400,140.0,2,2,4,12,45,0.7577419354838709
1,182,6000,3,2011.0,76214,150.0,2,3,3,35,5,-11.676666666666666
1,468,17490,3,2017.0,37200,130.0,2,2,4,27,29,-1.119325328759291
1,407,15999,4,2011.0,163759,210.0,2,3,2,35,18,-9.222201387586724
2,104,6900,4,2006.0,139000,130.0,2,2,4,38,37,-19.125507246376813
1,596,9500,3,2015.0,27000,110.0,2,2,4,9,7,-1.8302105263157895
1,170,16500,3,2019.0,16500,120.0,2,2,2,12,29,0.007454545454545454
1,322,10300,3,2017.0,69300,95.0,2,2,4,17,31,-5.718640776699029
1,169,20900,5,2017.0,85000,122.0,2,3,2,4,29,-3.060956937799043
1,72,12750,4,2019.0,25794,69.0,3,3,3,16,6,-1.0173333333333334
2,733,20990,3,2015.0,69000,190.0,2,2,4,15,50,-2.278037160552644
2,104,5500,3,2006.0,341000,140.0,2,2,4,8,37,-60.97381818181818
2,735,3000,4,2001.0,220000,170.0,2,2,4,15,7,-72.27533333333334
2,100,22900,4,2019.0,21000,116.0,2,2,2,14,7,0.08820960698689956
2,729,14250,3,2016.0,85000,116.0,2,2,3,11,39,-4.956491228070176
1,185,10000,3,2011.0,104000,140.0,2,2,4,28,7,-9.3857
1,288,9500,3,2011.0,155000,90.0,2,2,4,17,29,-15.306
3,241,22950,3,2017.0,103481,177.0,2,3,3,17,7,-3.5010021786492374
1,646,28088,4,2020.0,10,160.0,2,3,4,30,29,1.0054827684420393
2,729,24500,3,2019.0,13009,116.0,2,2,4,13,34,0.47391836734693876
1,594,37400,6,2019.0,30000,224.0,2,3,3,34,29,0.2039572192513369
2,735,19900,3,2015.0,120000,190.0,2,3,4,21,31,-5.02035175879397
1,596,11699,3,2017.0,27232,110.0,2,2,2,15,7,-1.318061372766903
2,837,39895,3,2020.0,7,190.0,2,3,4,21,29,1.0047123699711744
1,323,4537,3,2013.0,162000,90.0,1,2,3,24,29,-34.685915803394316
3,239,26500,3,2016.0,59395,170.0,2,3,4,15,7,-1.2346792452830189
1,507,11800,3,2016.0,128000,150.0,2,2,4,13,12,-9.83449152542373
1,457,14000,3,2015.0,50000,110.0,2,2,4,8,26,-2.563357142857143
1,486,16990,3,2017.0,126000,154.0,2,2,3,31,47,-6.406886403766921
1,616,8989,3,2013.0,84000,105.0,1,2,3,19,41,-8.332740015574592
1,785,12900,4,2003.0,174927,285.0,2,3,4,37,29,-12.53782945736434
1,744,13200,3,2012.0,189000,140.0,2,2,4,12,31,-13.307348484848484
2,874,71900,4,2019.0,0,310.0,2,3,4,5,6,1.0043810848400556
2,104,6300,3,2006.0,227000,140.0,2,3,2,10,1,-35.00873015873016
1,457,13500,4,2018.0,5500,94.0,2,2,4,21,32,0.5997777777777777
1,26,3000,4,2007.0,173000,90.0,2,2,3,8,7,-56.635666666666665
1,369,2200,3,2007.0,180000,115.0,2,2,4,15,39,-80.76454545454546
1,685,11899,4,2019.0,20450,84.0,2,2,4,25,29,-0.7113202790150432
1,155,18900,3,2017.0,63000,150.0,3,2,4,11,7,-2.3252380952380953
3,249,57900,6,2021.0,10,306.0,2,2,4,30,32,1.0051986183074266
1,377,3100,4,2012.0,100000,80.0,2,2,4,11,29,-31.231290322580644
1,268,8990,3,2017.0,120000,95.0,2,2,3,34,20,-12.33726362625139
1,186,23700,4,2020.0,5,131.0,2,2,3,15,1,1.0054430379746835
1,507,7490,3,2016.0,168000,110.0,2,2,3,32,29,-21.414819759679574
2,864,26890,3,2017.0,37675,150.0,2,3,4,4,45,-0.3953142432130904
1,603,13900,3,2016.0,159000,120.0,2,2,4,20,9,-10.43
1,616,6900,3,2012.0,145000,90.0,2,2,4,11,41,-20.001014492753622
1,616,15500,4,2020.0,1200,80.0,2,2,3,6,2,0.9279354838709677
2,103,15490,3,2017.0,89000,116.0,1,2,4,28,29,-4.737895416397676
2,104,22000,3,2018.0,40000,150.0,2,3,3,5,7,-0.8111363636363637
2,103,42900,3,2020.0,50,150.0,2,3,3,16,32,1.0024475524475525
1,905,9800,3,2016.0,169000,110.0,2,2,3,15,0,-16.233367346938774
1,767,15495,4,2018.0,30000,120.0,2,2,4,13,7,-0.9281703775411423
2,640,35200,3,2017.0,96300,190.0,2,3,4,15,17,-1.7302556818181818
1,760,4500,4,2007.0,150000,142.0,2,2,2,6,4,-32.30111111111111
1,40,24800,4,2020.0,1,130.0,2,2,3,10,4,1.0053225806451613
2,927,85490,6,2019.0,3000,374.0,3,3,4,37,2,0.9693414434436777
2,731,17500,3,2016.0,52823,150.0,2,3,4,45,41,-2.0096
2,107,18700,3,2012.0,95000,143.0,2,2,3,7,6,-4.0723529411764705
1,922,12990,4,2020.0,2162,100.0,2,2,3,5,4,0.8414934565050038
1,601,5500,3,2015.0,244769,75.0,2,2,3,21,29,-43.48927272727273
1,138,2000,3,2013.0,124000,110.0,2,2,3,12,21,-60.9435
3,762,7500,3,2007.0,122700,88.0,3,2,4,4,1,-15.3476
2,103,16200,3,2017.0,112000,116.0,2,2,4,45,29,-5.906172839506173
1,148,9990,4,2020.0,2961,72.0,2,2,4,13,10,0.7111111111111111
1,561,18990,3,2010.0,220000,140.0,2,2,4,23,29,-10.57751448130595
3,673,20000,3,2014.0,94000,150.0,2,2,3,8,33,-3.69225
1,443,17990,5,2018.0,19960,141.0,2,3,4,14,23,-0.10144524735964425
1,633,2500,4,2007.0,160000,60.0,2,2,2,28,4,-62.9748
1,179,2750,3,2011.0,215000,90.0,2,2,3,7,32,-77.148
1,889,13190,5,2017.0,94957,100.0,2,3,4,1,29,-6.191281273692191
2,733,27500,4,2002.0,194948,343.0,3,3,4,26,17,-6.076363636363636
1,341,5400,3,2007.0,210000,140.0,3,2,4,13,29,-37.86240740740741
1,629,23200,3,2020.0,0,131.0,2,2,4,23,7,1.0057758620689654
1,616,3750,4,2004.0,160000,75.0,2,2,4,11,34,-41.64586666666667
1,174,4500,3,2012.0,180000,68.0,2,2,3,6,7,-38.98422222222222
1,176,6980,4,2013.0,118117,95.0,2,2,4,25,45,-15.908166189111748
2,733,18999,3,2016.0,70977,190.0,2,3,4,24,2,-2.7255645033949154
1,719,16000,4,2010.0,119423,210.0,1,2,3,10,17,-6.450625
2,735,29890,3,2015.0,108923,258.0,2,3,4,54,31,-2.6353295416527267
1,685,10985,4,2019.0,14000,84.0,2,2,4,22,25,-0.2665452890304961
1,511,4990,3,2007.0,191090,85.0,2,2,2,21,44,-37.27695390781563
1,174,16143,3,2020.0,2,99.0,2,2,3,18,29,1.006194635445704
2,734,23700,3,2014.0,131248,184.0,3,3,4,39,49,-4.529915611814346
1,76,11000,3,2013.0,135000,115.0,2,3,4,0,15,-11.261909090909091
1,595,5999,4,2005.0,170000,143.0,3,3,4,18,6,-27.313552258709784
1,646,13990,3,2015.0,57852,110.0,2,2,3,14,5,-3.1271622587562544
1,204,14990,3,2013.0,68564,175.0,2,3,3,28,47,-3.5620413609072714
1,905,12000,4,2015.0,122000,120.0,2,2,2,0,29,-9.156416666666667
4,521,54900,3,2016.0,65000,258.0,2,3,4,54,29,-0.17914389799635702
1,449,5900,4,2010.0,80000,60.0,1,2,3,7,6,-12.54864406779661
1,154,6000,4,2000.0,200000,130.0,3,2,2,14,2,-32.311166666666665
2,872,18485,3,2015.0,94995,136.0,2,3,2,22,25,-4.131403840952124
1,142,12300,5,2016.0,112133,136.0,2,3,4,17,39,-8.105121951219513
1,455,8000,3,2010.0,190516,110.0,2,2,4,9,29,-22.800375
1,551,12990,3,2016.0,36554,136.0,2,2,4,17,49,-1.8033102386451116
1,288,21900,4,2018.0,20000,102.0,2,2,4,9,7,0.09155251141552512
1,517,14400,3,2016.0,28500,95.0,2,2,3,7,47,-0.9723611111111111
1,263,16490,4,2016.0,93983,200.0,2,3,2,29,47,-4.687022437841116
4,521,69900,4,2018.0,31131,360.0,2,3,2,1,45,0.5598855507868383
1,468,23500,3,2019.0,16394,115.0,2,2,4,12,10,0.30740425531914894
3,238,26900,3,2019.0,17930,116.0,2,3,4,19,45,0.3379925650557621
1,181,13600,4,2019.0,22438,110.0,2,2,4,14,7,-0.6415441176470589
1,457,11900,4,2018.0,89800,115.0,2,2,3,8,32,-6.536302521008404
1,28,12900,4,2021.0,10,75.0,2,2,4,9,45,1.0052713178294574
1,174,1500,4,2003.0,190000,61.0,2,2,4,7,45,-125.624
1,601,23500,5,2020.0,10,67.0,1,3,3,22,34,1.002595744680851
2,736,17500,4,2004.0,132000,333.0,3,2,3,18,7,-6.5236
1,895,700,4,2002.0,192500,103.0,1,2,4,4,42,-273.8485714285714
1,369,11990,3,2017.0,69999,120.0,2,3,4,32,32,-4.827773144286906
2,735,49900,3,2018.0,1000,231.0,2,3,4,54,2,0.984689378757515
2,104,16500,3,2016.0,99000,150.0,2,3,4,54,44,-4.99060606060606
1,345,17850,3,2017.0,99000,130.0,2,2,4,38,45,-4.5387675070028015
2,872,33000,3,2019.0,39350,150.0,2,2,4,18,12,-0.18775757575757576
1,407,21990,3,2014.0,117000,184.0,2,3,2,22,36,-4.312050932241928
2,104,7000,4,2005.0,189000,200.0,2,2,4,11,33,-25.97085714285714
2,104,23890,3,2016.0,92709,190.0,2,3,4,54,31,-2.8724989535370447
1,457,12000,4,2016.0,65000,115.0,2,2,4,12,7,-4.406833333333333
1,646,23600,3,2019.0,22136,115.0,2,3,4,32,29,0.06707627118644068
1,288,19600,4,2017.0,31125,102.0,2,2,4,29,47,-0.5826530612244898
